chave_canonica,grafias_encontradas,grafias_divergentes,itens_que_citam,roteiros,existe_em_legislations,legislation_url
RDC|216|2004,RDC 216/2004,não,241,"Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; Roteiro de Inspeção — Serviços de Alimentação (Município RJ); Roteiro de Inspeção — Serviços de Alimentação (Nacional); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://bvsms.saude.gov.br/bvs/saudelegis/anvisa/2004/res0216_15_09_2004.html
RDC|502|2021,RDC 502/2021,não,209,"Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://www.in.gov.br/en/web/dou/-/resolucao-rdc-n-502-de-27-de-maio-de-2021-323004654
RDC|63|2011,"RDC 63/2011; RDC Anvisa nº 63/2011; RDC nº 63/2011",sim,113,"Roteiro de Inspeção — Clínica de Estética e Saúde; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",sim,https://bvsms.saude.gov.br/bvs/saudelegis/anvisa/2011/res0063_25_11_2011.html
OUTRO||,"Boas Práticas; Boas Práticas de Armazenamento; Boas Práticas de Atendimento; Boas Práticas de Gestão; Consenso técnico de prevenção de contaminação cruzada; Critério técnico de coerência cadastral e de escopo operacional; Critério técnico de controle de prestador especializado; Critério técnico de controle de prestadores terceirizados; Critério técnico de higiene das mãos; Critério técnico de identificação das pessoas que executam os serviços; Critério técnico de limpeza e conservação do ambiente; Critério técnico de manutenção e uso seguro de equipamentos; Critério técnico de prevenção de contaminação cruzada; Critério técnico de prevenção de reutilização indevida; Critério técnico de prevenção de vetores e pragas urbanas; Critério técnico de qualificação e rastreabilidade de fornecedores; Critério técnico de segregação e controle de estoque; Critério técnico de segurança e atendimento; Código de Defesa do Consumidor; Código de Ética Profissional; LGPD; Legislação Estadual de Goiás — CBMGO; Legislação Local; Legislação Municipal; Legislação Municipal / Sanitária; Legislação Sanitária Federal e Local; Legislação Sanitária Local; Legislação Tributária Federal; Legislação Tributária e Sanitária; Legislação do Consumidor; Legislação sanitária local; Manuais do Fabricante; Manual do fabricante e consenso técnico de prevenção de contaminação cruzada; Manual do fabricante e critério técnico de controle de amostras; Manual do fabricante e critério técnico de prevenção de contaminação; Manual do fabricante e plano interno de contingência; Normas do Corpo de Bombeiros; Plano de prevenção contra incêndio e instruções do Corpo de Bombeiros competente; Plano interno de emergência e comunicação institucional; Política interna de atendimento e tratamento de reclamações; Princípios de Biossegurança; ROI ANVISA ILPI; Referência técnica: memorial descritivo institucional; Resoluções de Conselhos; Resoluções de Conselhos Profissionais; Roteiro MPGO/UTPSS; Roteiro MPGO/UTPSS — Banheiros; Roteiro MPGO/UTPSS — Cozinha; Roteiro MPGO/UTPSS — Despensa; Roteiro MPGO/UTPSS — Dormitórios; Roteiro MPGO/UTPSS — Infraestrutura; Roteiro MPGO/UTPSS — Área Técnica; instrução do fabricante; legislação estadual; legislação profissional aplicável; manual do fabricante",sim,110,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,
PORTARIA|002|2020,"Portaria IVISA-RIO 002/2020; Portaria IVISA-RIO 002/2020, Arts. 20 a 22; Portaria IVISA-RIO 002/2020, Arts. 30; Portaria IVISA-RIO 002/2020, Arts. 33 e 28; Portaria IVISA-RIO 002/2020, Arts. 36 e 37; Portaria IVISA-RIO 002/2020, Arts. 38; Portaria IVISA-RIO 002/2020, Arts. 4 e 5; Portaria IVISA-RIO 002/2020, Arts. 40, 41 e 42; Portaria IVISA-RIO 002/2020, Arts. 52 e 53; Portaria IVISA-RIO 002/2020, Arts. 75 e 76",sim,102,Roteiro de Inspeção — Serviços de Alimentação (Município RJ),não,
RDC|222|2018,"RDC 222/2018; RDC Anvisa nº 222/2018; RDC nº 222/2018",sim,49,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027); [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://www.in.gov.br/materia/-/asset_publisher/Kujrw0TZC2Mb/content/id/25158812
RDC|15|2012,"RDC 15/2012; RDC Anvisa nº 15/2012; RDC nº 15/2012",sim,42,"Roteiro de Inspeção — Clínica de Estética e Saúde; Roteiro de Inspeção — Embelezamento e Beleza; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",sim,https://bvsms.saude.gov.br/bvs/saudelegis/anvisa/2012/rdc0015_15_03_2012.html
RDC|50|2002,"RDC 50/2002; RDC Anvisa nº 50/2002; RDC nº 50/2002",sim,40,"Roteiro de Inspeção — Clínica de Estética e Saúde; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",sim,https://bvsms.saude.gov.br/bvs/saudelegis/anvisa/2002/res0050_21_02_2002.html
RDC|36|2013,"RDC 36/2013; RDC Anvisa nº 36/2013; RDC nº 36/2013",sim,29,"Roteiro de Inspeção — Clínica de Estética e Saúde; [ARQUIVADO] Roteiro de Inspeção — Clínica de Estética e Saúde | RJ / Rio de Janeiro; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza; [ARQUIVADO] Roteiro de Inspeção — Estética e Beleza (v2027)",sim,https://bvsms.saude.gov.br/bvs/saudelegis/anvisa/2013/rdc0036_25_07_2013.html
LEI|10741|2003,"Lei 10.741/2003; Lei Federal 10.741/2003; Lei Federal nº 10.741/2003",sim,25,"Roteiro de Inspeção — ILPI (Base Federal); Roteiro de Inspeção — ILPI | Goiás / Senador Canedo; [ARQUIVADO] Roteiro de Inspeção — ILPI (Base Federal) (v2027)",sim,https://www.planalto.gov.br/ccivil_03/leis/2003/l10.741.htm
